日付,曜日,コート,9-11,11-13,13-15,15-17,備考
6月1日,日,A,〇,〇,〇,×,夏季シングルス県大会予選
6月1日,日,B,〇,〇,〇,×,夏季シングルス県大会予選
6月5日,木,A,〇,〇,〇,×,中体連ソフト大会（予）
6月5日,木,B,×,×,×,×,中体連ソフト大会（予）
6月6日,金,A,〇,〇,×,×,中体連ソフト大会（予）
6月6日,金,B,×,×,×,×,中体連ソフト大会（予）
6月7日,土,A,〇,〇,〇,〇,
6月7日,土,B,〇,〇,〇,〇,
6月8日,日,A,〇,〇,〇,〇,夏季シングルス大会（予）
6月8日,日,B,〇,〇,〇,〇,夏季シングルス大会（予）
6月12日,木,A,〇,×,×,×,
6月12日,木,B,〇,〇,〇,〇,
6月13日,金,A,〇,〇,〇,D,
6月13日,金,B,〇,〇,〇,〇,
6月14日,土,A,〇,〇,〇,〇,
6月14日,土,B,〇,〇,〇,〇,
6月15日,日,A,〇,〇,〇,〇,夏季ダブルス県大会予選会
6月15日,日,B,〇,〇,〇,〇,夏季ダブルス県大会予選会
6月19日,木,A,×,〇,〇,×,
6月19日,木,B,〇,〇,〇,×,
6月20日,金,A,×,〇,〇,×,
6月20日,金,B,〇,〇,〇,×,
6月21日,土,A,×,〇,〇,×,
6月21日,土,B,〇,〇,〇,×,
6月22日,日,A,×,〇,〇,×,
6月22日,日,B,〇,〇,〇,×,
6月26日,木,A,×,〇,〇,×,test
6月26日,木,B,〇,〇,〇,×,
6月27日,金,A,×,〇,〇,×,
6月27日,金,B,〇,〇,〇,×,
6月28日,土,A,×,〇,〇,×,
6月28日,土,B,〇,〇,〇,×,
6月29日,日,A,×,〇,〇,×,
6月29日,日,B,〇,〇,〇,×,
